IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 435: This is number 8 | confidence 71% | expected 8 | CORRECT
IMG 436: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 437: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 438: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 439: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 440: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 441: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 442: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 443: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 444: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 445: NOT A NUMBER | confidence 12% | expected 6 | TRASH
IMG 446: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 447: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 448: NOT A NUMBER | confidence 19% | expected 9 | TRASH
IMG 449: This is number 5 | confidence 79% | expected 3 | INCORRECT
IMG 450: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 451: This is number 3 | confidence 83% | expected 3 | CORRECT
IMG 452: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 453: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 454: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 455: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 456: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 457: This is number 6 | confidence 85% | expected 6 | CORRECT
IMG 458: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 459: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 460: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 461: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 462: This is number 6 | confidence 89% | expected 6 | CORRECT
IMG 463: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 464: This is number 3 | confidence 86% | expected 3 | CORRECT
IMG 465: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 466: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 467: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 468: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 469: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 470: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 471: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 472: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 473: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 474: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 475: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 476: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 477: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 478: This is number 5 | confidence 81% | expected 5 | CORRECT
IMG 479: NOT A NUMBER | confidence 11% | expected 9 | TRASH
IMG 480: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 481: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 482: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 483: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 484: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 485: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 486: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 487: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 488: This is number 9 | confidence 88% | expected 9 | CORRECT
IMG 489: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 490: NOT A NUMBER | confidence 42% | expected 0 | TRASH
IMG 491: This is number 5 | confidence 89% | expected 5 | CORRECT
IMG 492: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 493: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 494: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 495: This is number 0 | confidence 80% | expected 8 | INCORRECT
IMG 496: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 497: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 498: This is number 0 | confidence 89% | expected 0 | CORRECT
IMG 499: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 500: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 501: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 502: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 503: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 504: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 505: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 506: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 507: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 508: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 509: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 510: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 511: This is number 4 | confidence 89% | expected 4 | CORRECT
IMG 512: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 513: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 514: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 515: This is number 3 | confidence 88% | expected 3 | CORRECT
IMG 516: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 517: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 518: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 519: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 520: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 521: This is number 9 | confidence 80% | expected 9 | CORRECT
IMG 522: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 523: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 524: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 525: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 526: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 527: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 528: This is number 3 | confidence 85% | expected 3 | CORRECT
IMG 529: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 530: This is number 4 | confidence 70% | expected 9 | INCORRECT
IMG 531: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 532: This is number 4 | confidence 80% | expected 4 | CORRECT
IMG 533: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 534: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 535: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 536: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 537: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 538: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 539: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 540: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 541: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 542: This is number 8 | confidence 76% | expected 8 | CORRECT
IMG 543: NOT A NUMBER | confidence 44% | expected 8 | TRASH
IMG 544: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 545: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 546: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 547: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 548: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 549: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 550: This is number 7 | confidence 53% | expected 7 | CORRECT
IMG 551: This is number 7 | confidence 53% | expected 7 | CORRECT
IMG 552: This is number 0 | confidence 67% | expected 0 | CORRECT
IMG 553: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 554: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 555: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 556: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 557: This is number 7 | confidence 87% | expected 7 | CORRECT
IMG 558: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 559: This is number 6 | confidence 90% | expected 6 | CORRECT
IMG 560: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 561: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 562: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 563: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 564: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 565: This is number 4 | confidence 90% | expected 4 | CORRECT
IMG 566: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 567: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 568: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 569: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 570: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 571: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 572: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 573: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 574: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 575: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 576: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 577: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 578: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 579: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 580: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 581: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 582: This is number 2 | confidence 92% | expected 8 | INCORRECT
IMG 583: This is number 2 | confidence 80% | expected 2 | CORRECT
IMG 584: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 585: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 586: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 587: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 588: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 589: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 590: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 591: This is number 8 | confidence 72% | expected 8 | CORRECT
IMG 592: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 593: This is number 7 | confidence 71% | expected 9 | INCORRECT
IMG 594: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 595: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 596: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 597: This is number 0 | confidence 76% | expected 0 | CORRECT
IMG 598: This is number 9 | confidence 83% | expected 9 | CORRECT
IMG 599: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 600: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 601: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 602: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 603: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 604: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 605: This is number 7 | confidence 60% | expected 7 | CORRECT
IMG 606: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 607: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 608: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 609: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 610: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 611: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 612: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 613: This is number 8 | confidence 82% | expected 2 | INCORRECT
IMG 614: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 615: This is number 1 | confidence 88% | expected 1 | CORRECT
IMG 616: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 617: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 618: This is number 5 | confidence 86% | expected 5 | CORRECT
IMG 619: This is number 8 | confidence 86% | expected 1 | INCORRECT
IMG 620: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 621: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 622: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 623: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 624: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 625: This is number 6 | confidence 89% | expected 6 | CORRECT
IMG 626: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 627: This is number 9 | confidence 87% | expected 9 | CORRECT
IMG 628: NOT A NUMBER | confidence 23% | expected 3 | TRASH
IMG 629: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 630: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 631: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 632: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 633: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 634: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 635: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 636: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 637: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 638: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 639: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 640: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 641: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 642: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 643: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 644: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 645: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 646: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 647: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 648: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 649: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 650: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 651: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 652: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 653: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 654: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 655: This is number 8 | confidence 91% | expected 8 | CORRECT
IMG 656: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 657: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 658: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 659: NOT A NUMBER | confidence 34% | expected 2 | TRASH
IMG 660: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 661: This is number 0 | confidence 89% | expected 0 | CORRECT
IMG 662: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 663: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 664: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 665: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 666: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 667: This is number 7 | confidence 74% | expected 7 | CORRECT
IMG 668: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 669: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 670: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 671: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 672: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 673: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 674: This is number 5 | confidence 89% | expected 5 | CORRECT
IMG 675: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 676: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 677: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 678: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 679: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 680: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 681: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 682: This is number 1 | confidence 94% | expected 1 | CORRECT
